ο	ο articlem sg<br>(definite) the
μαρτυρώ	μαρτυρώ verb<br>bear witness<br>attest, reveal<br>testify, give evidence<br>inform against<br>be martyred
ενοχή	ενοχή noun<br>guilt
εκπέμπω	εκπέμπω verb<br>(intransitive, radio) transmit, broadcast<br>(transitive) radiate, emit
οπτική	οπτική nounf<br>(physics) optics<br>vision, view (way of viewing or understanding something)<br><br>οπτική adjective<br>Nominative, accusative and vocative singular feminine form of οπτικός (optikós).
δίπλωμα	δίπλωμα noun<br>folding of map etc (especially folding in half)<br>diploma, certificate<br>degree (certificate)<br>driver's license (short for δίπλωμα οδήγησης)
ψυχρός	ψυχρός adjectivem<br>cold
ρατσιστικός	ρατσιστικός adjective<br>racist
πρώιμος	πρώιμος adjective<br>forward, precocious, early, premature
ένοχος	ένοχος adjective<br>guilty<br><br>ένοχος noun<br>culprit
φαντάζω	φαντάζω verb<br>(informal): give the impression. +accusative or + σαν (san, “like”)<br>(informal, intransitive) impressed by<br>(passive with different sense) see → φαντάζομαι (fantázomai, “imagine”)
άχρηστος	άχρηστος adjective<br>useless, unusable (thing)<br>useless, ineffective (person)
οικιακός	οικιακός adjective<br>domestic
τέλει	τέλει noun<br>inflection of τέλος (télos):
στράτευμα	στράτευμα noun<br>military forces (as a whole, for a country or alliance)
αναλαβαίνω	αναλαβαίνω verb<br>Alternative form of αναλαμβάνω (analamváno)
ελαφρύς	ελαφρύς adjective<br>Alternative form of ελαφρός (elafrós)
σινεμά	σινεμά noun<br>cinema (film/movie theatre)
ξαφνικός	ξαφνικός adjective<br>sudden, unexpected, unannounced
παράνομα	παράνομα nounn<br>(obsolete, demotic) surname<br>(colloquial) nickname<br><br>παράνομα adjective<br>Nominative, accusative and vocative plural neuter form of παράνομος (paránomos).<br><br>παράνομα adverb<br>illegally
βρέχω	βρέχω verb<br>(transitive, intransitive) wet, dampen<br>(transitive) send rain<br>(intransitive, 3rd persons singular) it rains and see → βρέχει
σωτήρας	σωτήρας noun<br>rescuer, saviour
φτερό	φτερό noun<br>(anatomy, ornithology) wing<br>(ornithology) feather<br>(automotive) wing (UK), fender (US)<br>(badminton) shuttlecock
δοκάρι	δοκάρι noun<br>beam (horizontal component of building made of wood, concrete, etc)<br>(sports) goalpost, crossbar; woodwork
βιωσιμότητα	βιωσιμότητα noun<br>sustainability, viability
αιχμή	αιχμή noun<br>point, spearhead<br>(anatomy) tip of nose<br>(figuratively) jibe, barbed comment, banter
καταδίκη	καταδίκη noun<br>(law) sentence, conviction
μονός	μονός adjective<br>single, with one part or element<br>(mathematics) odd
κόσμημα	κόσμημα noun<br>jewel
μερικός	μερικός adjective<br>partial, part, sub<br>part-time<br>(plural, pronoun) some, a few
ψεύτικος	ψεύτικος adjective<br>fake, false, spurious, bogus<br>fake, counterfeit<br>unreal, simulated
επίτευγμα	επίτευγμα noun<br>achievement, success
συνεισφέρω	συνεισφέρω verb<br>contribute, make a contribution
αδιαφορώ	αδιαφορώ verb<br>be indifferent to, not care about
οικοδομικός	οικοδομικός adjective<br>(construction, architecture) building, construction (relating to buildings, their design or their construction)
δίδω	δίδω verb<br>Alternative form of δίνω (díno)
επιμονή	επιμονή noun<br>persistence, doggedness, obstinacy
οθωμανικός	οθωμανικός adjective<br>Ottoman
βεβαιότητα	βεβαιότητα noun<br>certainty
μπαρ	μπαρ noun<br>bar (business where drinks are sold)<br>bar (piece of furniture over which drinks are taken)<br><br>μπαρ noun<br>(meteorology) bar (measure of atmospheric pressure)
άμμος	άμμος noun<br>sand (material found on beaches)<br>beach (especially a sandy one)
θηλυκός	θηλυκός adjective<br>female (feminine gender)<br>feminine (female person or animal)
μόριο	μόριο noun<br>speck, particle<br>(grammar, linguistics) particle<br>(physics) particle (subatomic)
σύμφωνο	σύμφωνο noun<br>(linguistics) consonant<br>contract, pact
επιμέλεια	επιμέλεια nounf<br>diligence, care<br>care, custody
παγκοσμιοποίηση	παγκοσμιοποίηση noun<br>(neologism) globalisation (UK), globalization (US)
εφιάλτης	εφιάλτης noun<br>nightmare
σκεπάζω	σκεπάζω verb<br>(transitive) to cover (put a cover over)<br>(intransitive) to cover up, to cover (be a cover over)
οδήγηση	οδήγηση noun<br>driving
υγρασία	υγρασία noun<br>(physics, meteorology etc) moisture, humidity
εντοπισμός	εντοπισμός nounm<br>localisation, localization
πισίνα	πισίνα noun<br>swimming pool
μυρωδιά	μυρωδιά noun<br>smell, scent, odour (UK), odor (US)
ηγετικός	ηγετικός adjective<br>leading, leadership
νόμιμα	νόμιμα adjective<br>Nominative plural neuter form of νόμιμος (nómimos).<br>Accusative plural neuter form of νόμιμος (nómimos).<br>Vocative plural neuter form of νόμιμος (nómimos).
παγίδα	παγίδα noun<br>trap, gin trap, snare
καράβι	καράβι noun<br>(nautical) ship, boat, sailing ship
εορτασμός	εορτασμός nounm<br>celebration
σάρκα	σάρκα noun<br>(biology) flesh<br>(botany) pulp, flesh
κάθετος	κάθετος adjective<br>vertical, steep, sharp<br>(geometry) perpendicular, orthogonal, vertical (at or forming a right angle to)<br>(typography) slash, virgule<br>(typography) pipe<br>(figuratively) unquestionable, straight
άσχημα	άσχημα adjective<br>Nominative, accusative and vocative plural neuter form of άσχημος (áschimos).<br><br>άσχημα adverb<br>badly
ωθώ	ωθώ verb<br>urge, push
τερματοφύλακας	τερματοφύλακας noun<br>(soccer) goalkeeper
αξιοσημείωτος	αξιοσημείωτος adjective<br>noteworthy
προσέρχομαι	προσέρχομαι verb<br>arrive, show up (formal)
ουδέποτε	ουδέποτε adverb<br>never, not even once, not even ever
ενεργοποίηση	ενεργοποίηση noun<br>activation<br>using
τροχιά	τροχιά noun<br>orbit<br>course<br>trajectory
σφαγή	σφαγή noun<br>slaughter (of many animals)<br>massacre (mass killing)
βαδίζω	βαδίζω verb<br>walk
βασίλισσα	βασίλισσα noun<br>queen (king's wife)<br>queen (ruling female monarch)<br>queen (reproductive female animal in a hive, such as an ant, bee, termite or wasp)<br>(figuratively) queen (powerful female figure)<br>(chess) queen
αποχή	αποχή nounf<br>abstinence (act of refraining from indulging a desire or appetite)<br>abstention (act of declining to participate)
αισθητικός	αισθητικός adjective<br>aesthetic<br><br>αισθητικός noun<br>beautician<br>aesthetic
σαλόνι	σαλόνι noun<br>lounge, living room, reception room
κτίσμα	κτίσμα noun<br>building, construction<br>creation
συνεργείο	συνεργείο noun<br>(automotive) garage (for car repairs)<br>(engineering) workshop<br>crew, gang (group working on joint enterprise)
βάρβαρος	βάρβαρος noun<br>barbarian<br><br>βάρβαρος adjective<br>barbarous, barbaric, uncivilised
χαιρετισμός	χαιρετισμός noun<br>greeting, salutation<br>(military) salute
διάβολος	διάβολος noun<br>(both figurative and literally) The Devil, devil<br>(both figurative and literally, by extension) Hell, hell, underworld, hellhole
άμυνας	άμυνας nounf<br>Genitive singular form of άμυνα (ámyna).
δυναμικά	δυναμικά nounn<br>Nominative, accusative and vocative plural form of δυναμικό (dynamikó).
παχυσαρκία	παχυσαρκία noun<br>obesity, fatness
μοναξιά	μοναξιά noun<br>loneliness, lonesomeness (feeling of depression resulting from being alone or from having no companions)<br>solitude, seclusion, loneliness, solitariness (condition or state of being alone or having no companions)<br>(figuratively) lonely person
διπλανός	διπλανός adjective<br>next, next door, adjacent, adjoining, neighbouring (being on the left or right)<br><br>διπλανός noun<br>next-door neighbour (who lives on either side of me)
ευθεία	ευθεία adjective<br>Nominative, accusative and vocative singular feminine form of ευθύς (efthýs).<br><br>ευθεία adverb<br>in the same direction, straight
ρύπανση	ρύπανση noun<br>pollution (something that pollutes; a pollutant)<br>contamination<br>soiling
καζίνο	καζίνο noun<br>casino
βασανίζω	βασανίζω verb<br>(transitive) torture (intentionally inflict severe pain or suffering on)<br>(transitive, figuratively) torture, torment, rack, be killing (cause severe suffering to)<br>(transitive, figuratively) torment, rack (cause mental suffering to)<br>(transitive, rare, formal) probe, pore over, investigate (examine something carefully and attentively)
χρόνιος	χρόνιος adjective<br>permanent<br>chronic
μισθωτός	μισθωτός adjective<br>paid, salaried<br><br>μισθωτός noun<br>wage earner, salaried or paid employee
διάδρομος	διάδρομος noun<br>corridor, passage (in building, train, etc)<br>passage, way (cleared space through crowd)<br>(nautical) strait (sea way)<br>(sports) lane (on athletics running track)<br>(aviation) runway
απονέμω	απονέμω verb<br>award, grant, confer
εκατοστός	εκατοστός adjective<br>hundredth, having the 100th position in a rank or order. (ordinal numeral)
χαράτσι	χαράτσι noun<br>(historical) poll tax (under the Ottomans)<br>(figuratively) any heavy tax
φάουλ	φάουλ noun<br>(sports) foul
κενός	κενός adjective<br>empty, free, vacant
αγοραστής	αγοραστής noun<br>purchaser, buyer<br><br>αγοραστής adjective<br>Genitive singular feminine form of αγοραστός (agorastós).
κουνάω	κουνάω verb<br>Alternative form of κουνώ (kounó)
μακεδονικός	μακεδονικός adjective<br>Macedonian (relating to Macedonia or its people or language)
σκάλα	σκάλα noun<br>ladder, rung<br>(architecture) staircase, stairs, stairway<br>escalator<br>gangway<br>pier
στίγμα	στίγμα noun<br>stigma (mark of infamy)<br>disgrace<br>scar, birthmark<br>stigma (Ϛ and ϛ: a ligature of the Greek letters lunate sigma and tau)
συνεπής	συνεπής adjective<br>consistent
μπουκάλι	μπουκάλι noun<br>bottle<br>the contents of a bottle
λοίμωξη	λοίμωξη noun<br>(medicine) infection
σύννεφο	σύννεφο noun<br>cloud
δευτέρας	δευτέρας adjective<br>(learned) Genitive singular feminine form of δεύτερος (défteros).
αποβάλλω	αποβάλλω verb<br>expel, reject<br>bring up, vomit<br>miscarry (baby)<br>send off (footballer)
ταχυδρομείο	ταχυδρομείο noun<br>post office (building)<br>postal service
χονδρός	χονδρός adjective<br>Alternative form of χοντρός (chontrós)
νομάρχης	νομάρχης noun<br>nomarch, department governor
σαράντα	σαράντα noun<br>Orthodox memorial service in the fortieth day
σέρνω	σέρνω verb<br>(transitive) pull, drag, haul, pull along<br>(intransitive, colloquial, usually in imperative) go
κυβερνήτης	κυβερνήτης noun<br>governor (leader of a region or state)<br>(nautical) captain, skipper<br>pilot (of an aircraft)
προφορικός	προφορικός adjective<br>oral, spoken, verbal
έντερο	έντερο noun<br>intestine
υποτιμώ	υποτιμώ verb<br>decrease, put down, mark down (prices)
γονίδιο	γονίδιο noun<br>(biology, genetics) gene (unit of heredity)
ευγενικός	ευγενικός adjective<br>polite
διαρροή	διαρροή noun<br>leak (in pipe, tank etc)<br>(figuratively) leak (disclosure of confidential information), defection, loss
έλαιο	έλαιο noun<br>oil
πλάτος	πλάτος noun<br>(mathematics) width, breadth<br>(geography) latitude
δάχτυλο	δάχτυλο noun<br>finger, digit
καφενείο	καφενείο noun<br>kafenio, cafe<br>(colloquial) madhouse
ύφασμα	ύφασμα noun<br>fabric, textile, cloth, material
ακύρωση	ακύρωση noun<br>annulment, invalidation, cancellation<br>punching (a ticket)<br>vacating (of a legal opinion)
φιλμ	φιλμ noun<br>(film) film(s), movie(s).<br>(photography) photographic film.
μακροπρόθεσμος	μακροπρόθεσμος adjective<br>long-term
συγγνώμη	συγγνώμη interjection<br>sorry (an apology)<br>excuse me (UK), pardon me (US)<br><br>συγγνώμη noun<br>forgiveness
αποφασιστικός	αποφασιστικός adjective<br>decisive
ταβέρνα	ταβέρνα noun<br>taverna, cafe
ευλογία	ευλογία noun<br>blessing
κάλπη	κάλπη noun<br>ballot box
ντομάτα	ντομάτα noun<br>tomato
θερινός	θερινός adjective<br>of or in summer
πεζοδρόμιο	πεζοδρόμιο noun<br>footpath, footway (UK); sidewalk (US)
πανηγύρι	πανηγύρι noun<br>(religion) saint's day, feast day (especially in a rural setting and involving prayers, food, song and dancing)<br>(by extension) village fair, feast, fete (with food, song and dancing)<br>(figuratively, plural) celebrating, merrymaking, festivities<br>(figuratively, humorous) quarrel, row, fight, rumpus, barney<br>(figuratively) fair (a large market held occasionally, mainly selling agricultural, homemade items and crafts)
σαλάτα	σαλάτα noun<br>salad (a dish, usually served cold, prepared usually from vegetables)<br>(figuratively) (untidy) mess
βορράς	βορράς noun<br>north
μυρίζω	μυρίζω verb<br>(transitive) smell, sense a smell<br>(intransitive) smell, have a particular smell<br>(intransitive) smell bad or good
τρελαίνω	τρελαίνω verb<br>(transitive, more likely to be seen in the passive) madden, drive insane, drive crazy (cause someone to go insane)<br>(transitive, colloquial, figuratively) madden, drive insane, create a stir (annoy, bother or stir someone greatly)
πεζός	πεζός adjective<br>on foot<br>prosaic, prose<br>mundane<br>(typography) lowercase<br><br>πεζός noun<br>pedestrian
αναπόφευκτος	αναπόφευκτος adjective<br>unavoidable<br>unpreventable
αρμονία	αρμονία noun<br>harmony, accord<br>(music) harmony, tune
συσσωρεύω	συσσωρεύω verb<br>accumulate
τσάντα	τσάντα noun<br>bag, purse, handbag
στενά	στενά nounn<br>Nominative, accusative and vocative plural form of στενό (stenó).<br><br>στενά adjective<br>Nominative, accusative and vocative plural neuter form of στενός (stenós).
γουστάρω	γουστάρω verb<br>(transitive) want, desire<br>(intransitive) like (something)
σωρός	σωρός noun<br>heap, pile
χειμερινός	χειμερινός adjective<br>winter
απομόνωση	απομόνωση noun<br>isolation<br>solitary confinement
θρόνος	θρόνος noun<br>throne<br>monarchy, the royal office
πρωτότυπο	πρωτότυπο noun<br>prototype<br><br>πρωτότυπο adjective<br>Accusative singular masculine form of πρωτότυπος (protótypos).<br>Nominative, accusative and vocative singular neuter form of πρωτότυπος (protótypos).
κουμπί	κουμπί noun<br>button (fastener for clothing)<br>button (instrument control)
φέτα	φέτα noun<br>slice<br>feta (cheese)
παραλλαγή	παραλλαγή noun<br>variant<br>(music) variation
λεμόνι	λεμόνι noun<br>lemon (fruit)<br>lemon juice<br>lemon yellow, lemon (colour)
δεινός	δεινός adjectivem<br>terrible, horrible, fearful, astounding<br>skillful
βρίζω	βρίζω verb<br>(transitive) insult, call names, abuse, run down (to use offensive language against)<br>(intransitive) swear, curse, cuss (use offensive language)
μεταβατικός	μεταβατικός adjective<br>(grammar) transitive<br>transitional
υποκείμενο	υποκείμενο noun<br>(grammar) subject
θαυμάσιος	θαυμάσιος adjective<br>wonderful, admirable, marvellous.
συγκοινωνία	συγκοινωνία noun<br>(transport) transport, transportation (means of conveyance)
αποκατασταίνω	αποκατασταίνω verb<br>Alternative form of αποκαθιστώ (apokathistó)
αναβολή	αναβολή noun<br>postponement, delay<br>adjournment
τίμημα	τίμημα noun<br>(finance) monetary value<br>(figuratively) value in terms of time, effort, emotion, etc.
οικία	οικία noun<br>home, residence
καθρέφτης	καθρέφτης noun<br>mirror<br>looking glass (old fashioned)
άλλοι	άλλοι pronoun<br>Nominative and vocative plural masculine form of άλλος (állos) (others)
ώσπου	ώσπου adverb<br>by the time, when<br><br>ώσπου conjunction<br>until (up to the time of)
κόλαση	κόλαση noun<br>hell, inferno, a place of anguish and suffering.
αγγείο	αγγείο noun<br>vessel, pot, urn, vase (especially ancient one)<br>(anatomy) blood vessel
καλεσμένος	καλεσμένος adjective<br>invited, asked to attend
διόδια	διόδια nounn pl<br>toll<br>toll road, turnpike<br>toll booth
επιφύλαξη	επιφύλαξη noun<br>reservation (doubt, hesitation)<br>(law) reservation (of legal rights)
δίχτυ	δίχτυ noun<br>net (mesh of string, cord or rope)<br>net (device)<br>(by extension) net (trap, usually in plural)
αντίρρηση	αντίρρηση noun<br>objection, dissent<br>statement of dissent
λύκος	λύκος noun<br>wolf<br>wolfdog<br>aggressive and bloodthirsty person<br>(medicine) lupus<br>cock of old hunting gun
ξημέρωμα	ξημέρωμα noun<br>dawn, sunrise, daybreak
αόρατος	αόρατος adjective<br>invisible, unseen
πλατύς	πλατύς adjectivem<br>wide, broad
συγνώμη	συγνώμη interjection<br>Alternative form of συγγνώμη (syngnómi)<br><br>συγνώμη noun<br>Alternative form of συγγνώμη (syngnómi)
διασύνδεση	διασύνδεση noun<br>link, link up<br>interface
ωκεανός	ωκεανός noun<br>ocean<br>wealth
καταντώ	καταντώ verb<br>(intransitive) end up, be reduced to, lower oneself to (to degenerate into an undesired state or condition)<br>(transitive) make, reduce to, drive (to cause someone or something to degenerate into an undesired state or condition)
ιστορικά	ιστορικά nounn<br>Nominative plural form of ιστορικό (istorikó).<br>Accusative plural form of ιστορικό (istorikó).<br>Vocative plural form of ιστορικό (istorikó).
τέρας	τέρας noun<br>monster
πρόβατο	πρόβατο noun<br>sheep<br>(figuratively) sheep (someone who is easily deceived by others)<br>(figuratively) lamb (a very gentle person)
έπιπλο	έπιπλο noun<br>furniture (one piece)
ύμνος	ύμνος noun<br>(religion, music) hymn, anthem, song
διάλεξη	διάλεξη noun<br>lecture
φύλακας	φύλακας noun<br>guard, gatekeeper, attendant, warden, custodian
φαρμακοποιός	φαρμακοποιός noun<br>pharmacist, chemist (UK), druggist (US)<br>apothecary (archaic)
αναβάλλω	αναβάλλω verb<br>postpone, put off, delay, procrastinate
διαδοχικός	διαδοχικός adjective<br>successive, consecutive (coming one after the other in a series.)
πλένω	πλένω verb<br>wash (your body, dishes, clothes, car, etc)<br>brush teeth<br>wash up
κόμβος	κόμβος noun<br>(traffic) interchange, hub, circus<br>(nautical) knot (speed of one nautical mile per hour)<br>node
βασιλεύς	βασιλεύς noun<br>Katharevousa form of βασιλιάς (vasiliás, “king”)
εντάξει	εντάξει adjective<br>all right, in order<br><br>εντάξει interjection<br>all right, alright, OK
ανακούφιση	ανακούφιση noun<br>relief, comfort, solace (from anxiety)
λιώνω	λιώνω verb<br>(transitive, intransitive) melt (make something liquid by heat)<br>(transitive, intransitive) dissolve (make something blend into liquid)<br>(transitive) crush, mash (reduce to a soft pulpy state by beating or pressure)<br>(transitive, figuratively) crush, destroy (completely eradicate someone/something)<br>(transitive, intransitive, figuratively) wear out (break down or destroy by overuse)<br>(intransitive, figuratively) waste away (become very thin and weak through illness etc)<br>(intransitive, figuratively) be exhausted (through overwork, exertion etc)<br>(intransitive, figuratively) burn up (usually through love or infatuation)<br>(intransitive, figuratively, of a corpse) decompose, rot
κατάληξη	κατάληξη noun<br>ending, termination<br>result or outcome<br>(grammar) ending
διώχνω	διώχνω verb<br>send, chase away, shoo, get rid of
αναθεωρώ	αναθεωρώ verb<br>reconsider, revise, review
μμ	μμ adverb<br>Alternative form of μ.μ. (m.m.)
στολή	στολή noun<br>uniform (distinctive clothing)
στατιστική	στατιστική noun<br>(statistics, mathematics) statistics<br><br>στατιστική adjective<br>Nominative, accusative and vocative singular feminine form of στατιστικός (statistikós).
στολίζω	στολίζω verb<br>(transitive) adorn, decorate, ornament
ροζ	ροζ adjective<br>pink
πιάνο	πιάνο noun<br>(music) piano<br><br>πιάνο adverb<br>(music) quietly
γύρισμα	γύρισμα noun<br>revolve, revolving (action or result of revolve)<br>twist, twisting (action or result of twist)<br>turn, turning (action or result of turning)<br>return, returning (action or result of returning)<br>paying back (of a road or in life)<br>turning point (of a road)<br>(media): shooting, filming<br>(sewing): hem (border of an article of clothing doubled back)<br>(music): switching scales<br>(sports): transfering the ball backwards
ανεπαρκής	ανεπαρκής adjective<br>insufficient, inadequate, scarce (not as much as meets requirements)<br>incompetent, unable, unfit (not as good as necessary)
απορώ	απορώ verb<br>(intransitive) be puzzled, be bewildered, be perplexed, wonder (at)<br>(intransitive) be surprised, be at a loss, marvel at, not be able to believe
κέφι	κέφι noun<br>high spirits, good humour, gaiety, merriness, merriment<br>good mood, disposition<br>good condition (of health), in form
πατώ	πατώ verb<br>Alternative form of πατάω (patáo)
γνώμονας	γνώμονας noun<br>square, set square (for making right angles)<br>gnomon (component of sun dial)
αντανακλώ	αντανακλώ verb<br>reflect, provoke, reflection (heat, light, sound, etc)<br>(figuratively) reflect
κωμωδία	κωμωδία noun<br>comedy (play or film)
τρίβω	τρίβω verb<br>(cooking) grate, grind<br>rub, chafe
βουλιάζω	βουλιάζω verb<br>sink, bring down
αλβανικός	αλβανικός adjective<br>Albanian (relating to Albania or its people or language)
τίμιος	τίμιος adjective<br>honest, honourable, fair, decent<br>holy
παραγωγικότητα	παραγωγικότητα noun<br>productivity
κυνηγός	κυνηγός noun<br>hunter
καπνίζω	καπνίζω verb<br>smoke (cigarette, etc)
ντρέπομαι	ντρέπομαι verb<br>(intransitive) be shy, be bashful<br>(intransitive) be ashamed, feel shame<br>(transitive, rare) respect
συνεισφορά	συνεισφορά noun<br>contribution
αδειάζω	αδειάζω verb<br>(transitive) clear out, pour out, decant, unload<br>(intransitive) to be empty<br>(colloquial) be available
μειωμένος	μειωμένος adjective<br>lower<br>reduced, lessened<br>humiliated, fallen
άψογος	άψογος adjective<br>impeccable, faultless, flawless
θεολογία	θεολογία nounf<br>theology
διαφεύγω	διαφεύγω verb<br>escape, elude, get away
καθηγήτρια	καθηγήτρια noun<br>(education) professor, university teacher, lecturer<br>(education) secondary school/high school teacher, schoolmistress<br>(education) language tutor<br>(figuratively) expert
χύνω	χύνω verb<br>(intransitive, most senses) spill, pour, shed (cause to flow in a stream, deliberately or accidentally)<br>(intransitive, of non-edibles) pour, cast, make (shape by pouring into a mould or make in such a way)<br>(transitive, colloquial, vulgar) cum, come, jizz, spunk (ejaculate semen)
παρατάω	παρατάω verb<br>abandon, desert, give up<br>drop, dump, quit
χειρουργική	χειρουργική noun<br>(medicine) surgery (the medical speciality)
πληθωρισμός	πληθωρισμός noun<br>(economics) inflation
σιδηροδρομικός	σιδηροδρομικός adjective<br>rail, connected to railways, etc<br><br>σιδηροδρομικός noun<br>railwayman
σφραγίδα	σφραγίδα noun<br>stamp (indentation or imprint made by stamping)<br>sigil
ηλίθιος	ηλίθιος adjective<br>stupid (lacking in intelligence)
εξάγω	εξάγω verb<br>export, smuggle out<br>extract (a tooth)
χρονοδιάγραμμα	χρονοδιάγραμμα noun<br>schedule (time-based plan of events)
σφάλμα	σφάλμα noun<br>error, mistake
υποχώρηση	υποχώρηση noun<br>(military) retreat, fall back, withdrawal<br>(geology) subsidence<br>(finance) decline
απότομος	απότομος adjective<br>(of cliffs, mountains) steep, sheer, abrupt<br>(generally) abrupt, sudden<br>(of speech) short, brusque, curt
έμβρυο	έμβρυο noun<br>(biology, medicine) embryo
καναπές	καναπές noun<br>sofa, couch, settee
νύχι	νύχι noun<br>nail, fingernail, toenail<br>claw<br>hoof (of horses, donkeys, etc.)
μήτρα	μήτρα noun<br>(anatomy) womb<br>(mathematics) matrix<br>mold (anything around or on which something is formed or shaped)
ναυτικό	ναυτικό noun<br>(neuter) (military) navy, sea force<br>(masculine) Accusative singular form of ναυτικός (naftikós).<br><br>ναυτικό adjective<br>Accusative singular masculine form of ναυτικός (naftikós).<br>Nominative, accusative and vocative singular neuter form of ναυτικός (naftikós).
κατσαρόλα	κατσαρόλα noun<br>casserole, saucepan, stewpot
απόγονος	απόγονος noun<br>descendant, progeny<br>child, offspring
κινεζικός	κινεζικός adjective<br>Chinese (related to the country, people or language)
μόρφωση	μόρφωση noun<br>education<br>erudition, learning<br>shaping, form
πονηρός	πονηρός adjective<br>tricky, cunning<br>(religion) evil
ζηλεύω	ζηλεύω verb<br>(transitive, intransitive) envy, be jealous/envious (to feel resent or wonder at someone for a perceived advantage, material or not)<br>(transitive, more specifically) be jealous, suspect (to be suspecting rivalry in love; to be suspicious of a lover or spouse's fidelity)
εξαφάνιση	εξαφάνιση nounf<br>disappearance
απαλλαγή	απαλλαγή noun<br>exemption, remission<br>acquittal, absolution<br>(military) discharge (from service)
επαναστάτης	επαναστάτης noun<br>insurgent; rebel; revolutionary
ανάπλαση	ανάπλαση noun<br>regeneration, renewal
καύση	καύση noun<br>combustion, the process of burning.<br>(chemistry) chemical reaction with the production of energy.
άστρο	άστρο noun<br>(astronomy) star<br>star (generally, any small dot in the night sky)<br>(geometry) star (a flat figure with projecting points)<br>star (portent, omen - a sign of good luck)
ακτίνα	ακτίνα noun<br>(physics) light ray, beam of light, X-ray (or other radiation)<br>sunbeam<br>(geometry) radius (dimension of a circle, physical line)<br>spoke (of a wheel)
σούπα	σούπα noun<br>soup
ύπαιθρος	ύπαιθρος noun<br>countryside (rural land, land without buildings)
βιάζω	βιάζω verb<br>(transitive) urge on, rush, hurry<br>(transitive) force, pressure<br>(transitive) rape, violate, ravish (to force sexual intercourse or other sexual activity without consent)<br>(figuratively) rape (to plunder, to destroy or despoil)
νηπιαγωγείο	νηπιαγωγείο noun<br>(education) nursery school, kindergarten
σημαδεύω	σημαδεύω verb<br>aim<br>scar<br>mark (visibly impressing or signing)
συνοικία	συνοικία noun<br>district, quarter, neighbourhood (of town)
γιαούρτι	γιαούρτι noun<br>yogurt, yoghurt, yogourt (Canada)
μήλο	μήλο noun<br>apple<br>(in the plural) dodgeball
διοικώ	διοικώ verb<br>run (eg: a business or other concern)<br>administer, manage, supervise<br>command, govern
γρίπη	γρίπη noun<br>(medicine) influenza, flu, 'flu
αβεβαιότητα	αβεβαιότητα noun<br>uncertainty, doubtfulness, incertitude<br>precariousness, uncertainty
προειδοποίηση	προειδοποίηση noun<br>warning, notice
τρέφω	τρέφω verb<br>(transitive) feed, nourish, maintain<br>(intransitive) heal, be raised
θυμώνω	θυμώνω verb<br>(intransitive) get angry, anger<br>(transitive) infuriate, anger, make angry, enrage<br>antagonise (UK), antagonize (US)
θεολόγος	θεολόγος noun<br>theologian
μεταβίβαση	μεταβίβαση noun<br>transfer, passing on, conveyance<br>devolution
πάτωμα	πάτωμα noun<br>floor of a room, elevator etc.<br>floor of a building<br>(colloquial) wooden floor of a room
εργολάβος	εργολάβος noun<br>contractor, entrepreneur<br>(colloquial) lover<br>(cooking) macaroon
στομάχι	στομάχι noun<br>(anatomy) stomach
διακριτικός	διακριτικός adjective<br>discreet (respectful of privacy or secrecy; quiet; diplomatic)
δούλος	δούλος noun<br>slave
ροκ	ροκ noun<br>(music) rock
αντάρτης	αντάρτης noun<br>guerrilla<br>insurgent<br>partisan<br>rebel, renegade
σκέλος	σκέλος nounn<br>leg<br>part (distinct element of anything consisting of alike elements)
χρέωση	χρέωση noun<br>(finance) debit
τραγουδίστρια	τραγουδίστρια noun<br>singer
όραση	όραση noun<br>vision, sight, eyesight
λογιστικός	λογιστικός adjective<br>accounting
παρατηρητής	παρατηρητής noun<br>observer
λάτρης	λάτρης noun<br>(religion) male worshipper<br>(figuratively) lover
ελεγκτής	ελεγκτής noun<br>auditor<br>inspector<br>controller
χωρικός	χωρικός adjective<br>territorial, country<br>village<br>spatial<br><br>χωρικός noun<br>villager<br>peasant
τάχα	τάχα adverb<br>supposedly, ostensibly, allegedly<br>I wonder, perhaps
αντιγράφω	αντιγράφω verb<br>copy, copy out, reproduce a document<br>cheat (in examinations)<br>(figuratively) copy, mimic
αρρώστια	αρρώστια noun<br>malady, sickness, illness<br>disease
όχθη	όχθη noun<br>riverbank, bank<br>lakeside, lake shore
ηρεμώ	ηρεμώ verb<br>compose oneself, make calm<br>be inactive
τροχός	τροχός noun<br>wheel
συγκρούομαι	συγκρούομαι verb<br>collide, clash
αμέτρητος	αμέτρητος adjective<br>innumerable, uncountable, countless
ευγενής	ευγενής adjective<br>polite<br>noble, aristocratic<br><br>ευγενής noun<br>noble, aristocrat, peer
τζάκι	τζάκι nounn<br>fireplace, hearth<br>(figuratively) dynasty, house
αναλογίζομαι	αναλογίζομαι verb<br>consider, dwell on, think about, brood, brood on
τοξικός	τοξικός adjective<br>toxic
ναζιστικός	ναζιστικός adjective<br>Nazi
δόμηση	δόμηση noun<br>building, construction (the act or process)
λύπη	λύπη noun<br>sorrow, sadness, unhappiness<br>suffering<br>pity, compassion
άλλο	άλλο adverb<br>any more, anymore<br><br>άλλο pronoun<br>Accusative singular masculine form of άλλος (állos).<br>Nominative, accusative and vocative singular neuter form of άλλος (állos).
ωμός	ωμός adjective<br>raw, uncooked<br>crude<br>brutal
εγκατάλειψη	εγκατάλειψη noun<br>abandonment
